3PAV rank,name,shot score,3P%,3PAV,number shots
117,Kawhi Leonard,36.2%,39.6%,0.026,2012
118,Tony Snell,37.9%,40.6%,0.026,1607
119,Anthony Tolliver,37.0%,40.1%,0.026,1598
120,Lou Williams,35.0%,36.4%,0.025,2454
121,Al Horford,38.2%,37.3%,0.024,1440
122,George Hill,36.9%,40.4%,0.024,1576
123,Alex Abrines,36.8%,37.6%,0.023,566
124,Jeremy Lamb,35.9%,36.8%,0.022,1334
125,Taurean Prince,36.7%,38.4%,0.022,1348
126,Jaren Jackson Jr.,36.6%,37.7%,0.022,589
127,Luka Doncic,33.6%,34.2%,0.021,1446
128,Josh Richardson,35.7%,37.5%,0.019,1601
129,Courtney Lee,37.4%,39.5%,0.018,1143
130,Landry Shamet,36.5%,40.0%,0.018,1030
131,O.J. Mayo,36.3%,36.9%,0.018,534
132,Allen Crabbe,36.6%,39.2%,0.017,1456
133,Shabazz Napier,35.5%,35.3%,0.016,914
134,RJ Barrett,37.5%,38.5%,0.016,504
135,Cory Joseph,36.8%,35.6%,0.016,904
136,Channing Frye,37.0%,40.5%,0.015,1396
137,Nik Stauskas,36.2%,37.0%,0.014,950
138,Denzel Valentine,36.3%,36.2%,0.013,873
139,Marvin Williams,37.2%,38.7%,0.013,1891
140,John Collins,38.0%,39.6%,0.012,558
141,Nicolas Batum,36.2%,36.9%,0.01,2222
142,Justin Jackson,36.8%,33.0%,0.01,685
143,Nick Young,35.3%,37.9%,0.01,1219
144,Mirza Teletovic,35.5%,37.5%,0.009,1152
145,Rodney Hood,35.1%,37.0%,0.009,1550
146,Tobias Harris,36.8%,37.8%,0.008,2196
147,Tyler Johnson,36.5%,37.3%,0.008,1124
148,Goran Dragic,35.5%,38.2%,0.007,1969
149,Pat Connaughton,35.6%,35.3%,0.007,948
150,Derrick White,35.5%,36.8%,0.006,590
151,Ben McLemore,36.1%,37.5%,0.006,1781
152,Brandon Knight,35.1%,37.0%,0.006,1126
153,Austin Rivers,35.5%,36.2%,0.006,1766
154,Jeff Teague,36.1%,38.1%,0.004,1414
155,Dorian Finney-Smith,37.4%,36.5%,0.003,1076
156,Gordon Hayward,36.2%,37.6%,0.003,1836
157,OG Anunoby,37.1%,39.1%,0.002,916
158,Rajon Rondo,35.8%,36.3%,0.002,942
159,Kevin Knox II,36.0%,36.8%,0.001,617
160,Will Barton,35.7%,37.5%,0.001,1658
161,Victor Oladipo,35.3%,35.3%,0,1913
162,Mo Williams,34.6%,36.8%,0,587
163,Gerald Green,35.8%,37.6%,-0.001,1801
164,Mike Dunleavy,36.3%,41.3%,-0.001,743
165,Kyle Kuzma,35.6%,34.6%,-0.001,1475
166,Patrick Beverley,36.5%,39.7%,-0.002,1712
167,Andrew Wiggins,35.2%,35.1%,-0.003,1820
168,Jared Dudley,36.9%,38.7%,-0.003,965
169,Garrett Temple,36.1%,35.3%,-0.003,1523
170,Juancho Hernangomez,36.2%,34.5%,-0.004,615
171,Julius Randle,35.5%,35.0%,-0.005,910
172,Arron Afflalo,35.7%,41.1%,-0.005,877
173,Donte DiVincenzo,35.2%,34.4%,-0.006,680
174,Gary Harris,35.6%,36.6%,-0.006,1578
175,Torrey Craig,35.8%,34.6%,-0.006,564
176,Avery Bradley,36.5%,38.4%,-0.007,1745
177,Jordan Clarkson,34.8%,34.8%,-0.008,2317
178,Kevin Martin,35.3%,38.3%,-0.008,530
179,Rudy Gay,35.7%,36.9%,-0.008,1395
180,Jerryd Bayless,36.1%,37.4%,-0.009,708
181,Delon Wright,36.0%,36.8%,-0.009,622
182,Harrison Barnes,36.4%,38.1%,-0.009,2051
183,Dennis Schroder,35.7%,35.1%,-0.01,1779
184,Omri Casspi,36.1%,40.5%,-0.01,528
185,Kentavious Caldwell-Pope,35.7%,36.8%,-0.01,2576
186,Tomas Satoransky,36.7%,39.2%,-0.011,556
187,Ersan Ilyasova,35.8%,36.4%,-0.012,1466
188,LaMarcus Aldridge,35.7%,36.0%,-0.013,542
189,Jason Terry,36.2%,39.5%,-0.014,884
190,Dennis Smith Jr.,34.3%,33.0%,-0.014,613
191,Semi Ojeleye,36.7%,35.0%,-0.015,532
192,Kelly Olynyk,36.1%,37.5%,-0.015,1785
193,Isaiah Canaan,34.6%,35.4%,-0.016,855
194,Jeff Green,35.6%,36.3%,-0.016,1892
195,Nikola Jokic,35.1%,37.0%,-0.017,1321
196,Vince Carter,34.5%,36.9%,-0.017,1656
197,T.J. Warren,35.7%,37.0%,-0.018,627
198,Aaron Brooks,33.6%,39.4%,-0.018,723
199,Marc Gasol,36.5%,37.5%,-0.019,1222
200,Richard Jefferson,35.7%,38.8%,-0.019,706
201,Dillon Brooks,34.8%,36.9%,-0.019,1051
202,Hollis Thompson,36.2%,39.1%,-0.019,808
203,Marreese Speights,35.0%,36.6%,-0.022,598
204,Marco Belinelli,34.6%,38.4%,-0.023,1906
205,Tyus Jones,35.4%,34.2%,-0.023,620
206,Jamal Crawford,33.4%,34.7%,-0.023,1622
207,Eric Bledsoe,34.8%,35.3%,-0.024,1905
208,Emmanuel Mudiay,34.2%,33.3%,-0.025,739
209,Raymond Felton,34.2%,33.7%,-0.025,751
210,J.J. Barea,33.8%,36.0%,-0.025,1146
211,Dion Waiters,34.0%,36.7%,-0.028,1302
212,Darius Miller,35.0%,37.9%,-0.03,788
213,Anthony Morrow,35.8%,40.6%,-0.031,694
214,Kent Bazemore,35.5%,36.3%,-0.033,1670
215,Serge Ibaka,35.8%,37.4%,-0.033,1582
216,Jerami Grant,35.9%,36.0%,-0.033,1407
217,P.J. Tucker,36.9%,38.0%,-0.035,1946
218,DeMarre Carroll,35.5%,36.2%,-0.036,1697
219,Paul Pierce,34.4%,39.1%,-0.036,798
220,Dante Cunningham,36.8%,37.1%,-0.037,552
221,Solomon Hill,35.5%,34.9%,-0.038,1009
222,Ish Smith,34.5%,33.1%,-0.038,696
223,Isaiah Thomas,33.7%,36.6%,-0.039,1847
224,Frank Kaminsky,35.2%,35.7%,-0.04,1112
225,Jae Crowder,34.9%,34.5%,-0.04,2745
226,Randy Foye,34.4%,36.3%,-0.04,1000
227,Mike Scott,35.2%,37.3%,-0.041,1333
228,DeMarcus Cousins,34.7%,35.8%,-0.041,991
229,Marcus Thornton,34.3%,35.5%,-0.043,643
230,Trey Burke,33.5%,36.1%,-0.046,1347
231,Joe Johnson,34.3%,37.1%,-0.047,1320
232,Mario Chalmers,34.3%,33.6%,-0.047,672
233,Terrance Ferguson,35.9%,33.9%,-0.048,590
234,Manu Ginobili,34.4%,38.0%,-0.051,1019
235,Blake Griffin,33.6%,35.6%,-0.051,1277
236,Cedi Osman,34.0%,35.1%,-0.051,1040
237,Caris LeVert,34.5%,34.9%,-0.051,991
238,Brook Lopez,34.1%,34.8%,-0.052,1853
239,Spencer Hawes,35.0%,38.2%,-0.052,595
240,Jabari Parker,34.7%,33.9%,-0.052,601
241,Markieff Morris,35.2%,35.2%,-0.052,1418
242,Aaron Gordon,34.7%,34.2%,-0.053,1381
243,Matthew Dellavedova,34.8%,36.4%,-0.054,1073
244,Devin Harris,33.9%,35.1%,-0.054,957
245,Mike Muscala,35.3%,37.7%,-0.054,889
246,Jameer Nelson,33.2%,36.3%,-0.055,986
247,Marcus Smart,33.8%,33.9%,-0.056,2073
248,Nikola Vucevic,35.3%,36.4%,-0.056,1249
249,Trevor Ariza,35.2%,36.9%,-0.057,3097
250,Jimmy Butler,33.3%,34.5%,-0.058,1371
251,John Wall,33.2%,34.8%,-0.059,1457
252,James Ennis III,34.6%,36.5%,-0.06,845
253,Mario Hezonja,33.2%,32.7%,-0.06,758
254,Greivis Vasquez,33.8%,38.1%,-0.06,636
255,Wesley Johnson,34.7%,34.3%,-0.06,977
256,Ty Lawson,34.1%,35.7%,-0.065,504
257,Wilson Chandler,33.3%,34.7%,-0.067,1402
258,Spencer Dinwiddie,31.5%,32.5%,-0.067,1220
259,Jonas Jerebko,35.1%,39.0%,-0.069,753
260,Dirk Nowitzki,33.5%,37.6%,-0.069,1481
261,Kyle Anderson,35.0%,36.3%,-0.069,513
262,Paul Millsap,34.2%,35.2%,-0.071,1465
263,Jeremy Lin,33.2%,35.4%,-0.071,797
264,Joel Embiid,34.2%,34.3%,-0.072,921
265,Russell Westbrook,32.5%,31.8%,-0.072,2502
266,Iman Shumpert,34.3%,34.7%,-0.073,1138
267,Kelly Oubre Jr.,33.9%,33.1%,-0.074,1446
268,Patrick Patterson,35.3%,37.6%,-0.076,1481
269,Trey Lyles,34.0%,34.5%,-0.077,865
270,Anthony Davis,33.5%,32.7%,-0.078,868
271,Shelvin Mack,32.9%,34.0%,-0.082,745
272,Al-Farouq Aminu,34.1%,34.5%,-0.082,1442
273,Timothe Luwawu-Cabarrot,34.3%,34.2%,-0.083,819
274,Maurice Harkless,34.6%,32.8%,-0.086,913
275,Rodney McGruder,33.4%,35.2%,-0.089,537
276,Ian Clark,33.6%,34.2%,-0.094,695
277,Stanley Johnson,33.3%,31.8%,-0.094,885
278,Chris Bosh,33.8%,35.5%,-0.097,532
279,Ricky Rubio,33.2%,34.3%,-0.098,1404
280,Josh Jackson,32.3%,31.2%,-0.098,734
281,De'Aaron Fox,31.7%,33.1%,-0.109,849
282,DeMar DeRozan,31.0%,30.5%,-0.11,889
